"filename", "language", "CSS", "JavaScript", "HTML", "comment", "blank", "total"
"d:\vscode projs\web\SAD final proj backup\html\applicants html\applicants-category.html", "HTML", 0, 0, 277, 27, 44, 348
"d:\vscode projs\web\SAD final proj backup\html\applicants html\applicants-dashboard.html", "HTML", 0, 0, 0, 0, -4, -4
"d:\vscode projs\web\SAD final proj backup\html\applicants html\applicants-my-profile-2.html", "HTML", 0, 0, 254, 21, 20, 295
"d:\vscode projs\web\SAD final proj backup\html\applicants html\applicants-my-profile-3.html", "HTML", 0, 0, 201, 20, 17, 238
"d:\vscode projs\web\SAD final proj backup\html\applicants html\applicants-my-profile.html", "HTML", 0, 0, -20, 12, 0, -8
"d:\vscode projs\web\SAD final proj backup\scripts\login.js", "JavaScript", 0, -1, 0, -1, -1, -3
"d:\vscode projs\web\SAD final proj backup\scripts\my-profile.js", "JavaScript", 0, -7, 0, 6, -1, -2
"d:\vscode projs\web\SAD final proj backup\styles\calendar.css", "CSS", -92, 0, 0, 0, -20, -112
"d:\vscode projs\web\SAD final proj backup\styles\general.css", "CSS", 4, 0, 0, -30, 0, -26
"d:\vscode projs\web\SAD final proj backup\styles\layout.css", "CSS", 1, 0, 0, 0, 1, 2
"d:\vscode projs\web\SAD final proj backup\styles\my-profile.css", "CSS", -247, 0, 0, -12, -45, -304
"d:\vscode projs\web\SAD final proj backup\styles\user-pages-styles\calendar.css", "CSS", 92, 0, 0, 0, 20, 112
"d:\vscode projs\web\SAD final proj backup\styles\user-pages-styles\category.css", "CSS", 164, 0, 0, 6, 23, 193
"d:\vscode projs\web\SAD final proj backup\styles\user-pages-styles\dashboard.css", "CSS", 7, 0, 0, 0, 0, 7
"d:\vscode projs\web\SAD final proj backup\styles\user-pages-styles\my-profile.css", "CSS", 296, 0, 0, 16, 52, 364
"Total", "-", 225, -8, 712, 65, 106, 1100
