"filename", "language", "CSS", "JavaScript", "HTML", "XML", "comment", "blank", "total"
"d:\vscode projs\web\SAD final proj backup\html\applicants html\applicants-application.html", "HTML", 0, 0, 76, 0, 12, 13, 101
"d:\vscode projs\web\SAD final proj backup\html\applicants html\applicants-category.html", "HTML", 0, 0, 353, 0, 39, 57, 449
"d:\vscode projs\web\SAD final proj backup\html\applicants html\applicants-dashboard.html", "HTML", 0, 0, 112, 0, 14, 18, 144
"d:\vscode projs\web\SAD final proj backup\html\applicants html\applicants-feedback.html", "HTML", 0, 0, 76, 0, 12, 13, 101
"d:\vscode projs\web\SAD final proj backup\html\applicants html\applicants-my-profile-2.html", "HTML", 0, 0, 254, 0, 21, 20, 295
"d:\vscode projs\web\SAD final proj backup\html\applicants html\applicants-my-profile-3.html", "HTML", 0, 0, 201, 0, 20, 17, 238
"d:\vscode projs\web\SAD final proj backup\html\applicants html\applicants-my-profile.html", "HTML", 0, 0, 308, 0, 30, 26, 364
"d:\vscode projs\web\SAD final proj backup\html\applicants html\applicants-notification.html", "HTML", 0, 0, 74, 0, 12, 13, 99
"d:\vscode projs\web\SAD final proj backup\html\applicants html\applicants-status.html", "HTML", 0, 0, 76, 0, 12, 13, 101
"d:\vscode projs\web\SAD final proj backup\html\forgot-password.html", "HTML", 0, 0, 20, 0, 0, 1, 21
"d:\vscode projs\web\SAD final proj backup\html\scholars html\scholars-category.html", "HTML", 0, 0, 76, 0, 12, 13, 101
"d:\vscode projs\web\SAD final proj backup\html\scholars html\scholars-dashboard.html", "HTML", 0, 0, 76, 0, 12, 13, 101
"d:\vscode projs\web\SAD final proj backup\html\scholars html\scholars-feedback.html", "HTML", 0, 0, 76, 0, 12, 12, 100
"d:\vscode projs\web\SAD final proj backup\html\scholars html\scholars-my-profile.html", "HTML", 0, 0, 328, 0, 18, 26, 372
"d:\vscode projs\web\SAD final proj backup\html\scholars html\scholars-notifiation.html", "HTML", 0, 0, 74, 0, 12, 13, 99
"d:\vscode projs\web\SAD final proj backup\html\scholars html\scholars-renewal.html", "HTML", 0, 0, 76, 0, 12, 13, 101
"d:\vscode projs\web\SAD final proj backup\html\scholars html\scholars-status.html", "HTML", 0, 0, 76, 0, 12, 13, 101
"d:\vscode projs\web\SAD final proj backup\html\staffs html\staffs-announcement.html", "HTML", 0, 0, 89, 0, 12, 16, 117
"d:\vscode projs\web\SAD final proj backup\html\staffs html\staffs-calendar.html", "HTML", 0, 0, 89, 0, 12, 16, 117
"d:\vscode projs\web\SAD final proj backup\html\staffs html\staffs-dashboard.html", "HTML", 0, 0, 91, 0, 12, 16, 119
"d:\vscode projs\web\SAD final proj backup\html\staffs html\staffs-generate-email.html", "HTML", 0, 0, 89, 0, 12, 16, 117
"d:\vscode projs\web\SAD final proj backup\html\staffs html\staffs-generate-reports.html", "HTML", 0, 0, 89, 0, 12, 16, 117
"d:\vscode projs\web\SAD final proj backup\html\staffs html\staffs-my-profile.html", "HTML", 0, 0, 341, 0, 18, 29, 388
"d:\vscode projs\web\SAD final proj backup\html\staffs html\staffs-notification.html", "HTML", 0, 0, 87, 0, 12, 16, 115
"d:\vscode projs\web\SAD final proj backup\html\staffs html\staffs-programs.html", "HTML", 0, 0, 89, 0, 12, 16, 117
"d:\vscode projs\web\SAD final proj backup\html\staffs html\staffs-verification.html", "HTML", 0, 0, 89, 0, 12, 16, 117
"d:\vscode projs\web\SAD final proj backup\html\staffs html\staffs-view-feedbacks.html", "HTML", 0, 0, 89, 0, 12, 16, 117
"d:\vscode projs\web\SAD final proj backup\img\icons\arrow-down-icon.svg", "XML", 0, 0, 0, 3, 0, 1, 4
"d:\vscode projs\web\SAD final proj backup\img\icons\arrow-left-icon.svg", "XML", 0, 0, 0, 3, 0, 1, 4
"d:\vscode projs\web\SAD final proj backup\img\icons\arrow-right-icon.svg", "XML", 0, 0, 0, 3, 0, 1, 4
"d:\vscode projs\web\SAD final proj backup\img\icons\attachment-icon.svg", "XML", 0, 0, 0, 3, 0, 1, 4
"d:\vscode projs\web\SAD final proj backup\img\icons\category-icon.svg", "XML", 0, 0, 0, 3, 0, 1, 4
"d:\vscode projs\web\SAD final proj backup\img\icons\check-icon.svg", "XML", 0, 0, 0, 3, 0, 1, 4
